code,sido,sigungu,addr_1,addr_2
11110,서울특별시,종로구,서울_종로,서울특별시 종로구
11140,서울특별시,중구,서울_중구,서울특별시 중구
11170,서울특별시,용산구,서울_용산,서울특별시 용산구
11200,서울특별시,성동구,서울_성동,서울특별시 성동구
11215,서울특별시,광진구,서울_광진,서울특별시 광진구
11230,서울특별시,동대문구,서울_동대문,서울특별시 동대문구
11260,서울특별시,중랑구,서울_중랑,서울특별시 중랑구
11290,서울특별시,성북구,서울_성북,서울특별시 성북구
11305,서울특별시,강북구,서울_강북,서울특별시 강북구
11320,서울특별시,도봉구,서울_도봉,서울특별시 도봉구
11350,서울특별시,노원구,서울_노원,서울특별시 노원구
11380,서울특별시,은평구,서울_은평,서울특별시 은평구
11410,서울특별시,서대문구,서울_서대문,서울특별시 서대문구
11440,서울특별시,마포구,서울_마포,서울특별시 마포구
11470,서울특별시,양천구,서울_양천,서울특별시 양천구
11500,서울특별시,강서구,서울_강서,서울특별시 강서구
11530,서울특별시,구로구,서울_구로,서울특별시 구로구
11545,서울특별시,금천구,서울_금천,서울특별시 금천구
11560,서울특별시,영등포구,서울_영등포,서울특별시 영등포구
11590,서울특별시,동작구,서울_동작,서울특별시 동작구
11620,서울특별시,관악구,서울_관악,서울특별시 관악구
11650,서울특별시,서초구,서울_서초,서울특별시 서초구
11680,서울특별시,강남구,서울_강남,서울특별시 강남구
11710,서울특별시,송파구,서울_송파,서울특별시 송파구
11740,서울특별시,강동구,서울_강동,서울특별시 강동구
26110,부산광역시,중구,부산_중구,부산광역시 중구
26140,부산광역시,서구,부산_서구,부산광역시 서구
26170,부산광역시,동구,부산_동구,부산광역시 동구
26200,부산광역시,영도구,부산_영도,부산광역시 영도구
26230,부산광역시,부산진구,부산_부산진,부산광역시 부산진구
26260,부산광역시,동래구,부산_동래,부산광역시 동래구
26290,부산광역시,남구,부산_남구,부산광역시 남구
26320,부산광역시,북구,부산_북구,부산광역시 북구
26350,부산광역시,해운대구,부산_해운대,부산광역시 해운대구
26380,부산광역시,사하구,부산_사하,부산광역시 사하구
26410,부산광역시,금정구,부산_금정,부산광역시 금정구
26440,부산광역시,강서구,부산_강서,부산광역시 강서구
26470,부산광역시,연제구,부산_연제,부산광역시 연제구
26500,부산광역시,수영구,부산_수영,부산광역시 수영구
26530,부산광역시,사상구,부산_사상,부산광역시 사상구
26710,부산광역시,기장군,부산_기장,부산광역시 기장군
27110,대구광역시,중구,대구_중구,대구광역시 중구
27140,대구광역시,동구,대구_동구,대구광역시 동구
27170,대구광역시,서구,대구_서구,대구광역시 서구
27200,대구광역시,남구,대구_남구,대구광역시 남구
27230,대구광역시,북구,대구_북구,대구광역시 북구
27260,대구광역시,수성구,대구_수성,대구광역시 수성구
27290,대구광역시,달서구,대구_달서,대구광역시 달서구
27710,대구광역시,달성군,대구_달성,대구광역시 달성군
28110,인천광역시,중구,인천_중구,인천광역시 중구
28140,인천광역시,동구,인천_동구,인천광역시 동구
28177,인천광역시,미추홀구,인천_미추홀,인천광역시 미추홀구
28185,인천광역시,연수구,인천_연수,인천광역시 연수구
28200,인천광역시,남동구,인천_남동,인천광역시 남동구
28237,인천광역시,부평구,인천_부평,인천광역시 부평구
28245,인천광역시,계양구,인천_계양,인천광역시 계양구
28260,인천광역시,서구,인천_서구,인천광역시 서구
28710,인천광역시,강화군,인천_강화,인천광역시 강화군
29110,광주광역시,동구,광주_동구,광주광역시 동구
29140,광주광역시,서구,광주_서구,광주광역시 서구
29155,광주광역시,남구,광주_남구,광주광역시 남구
29170,광주광역시,북구,광주_북구,광주광역시 북구
29200,광주광역시,광산구,광주_광산,광주광역시 광산구
30110,대전광역시,동구,대전_동구,대전광역시 동구
30140,대전광역시,중구,대전_중구,대전광역시 중구
30170,대전광역시,서구,대전_서구,대전광역시 서구
30200,대전광역시,유성구,대전_유성,대전광역시 유성구
30230,대전광역시,대덕구,대전_대덕,대전광역시 대덕구
31110,울산광역시,중구,울산_중구,울산광역시 중구
31140,울산광역시,남구,울산_남구,울산광역시 남구
31170,울산광역시,동구,울산_동구,울산광역시 동구
31200,울산광역시,북구,울산_북구,울산광역시 북구
31710,울산광역시,울주군,울산_울주,울산광역시 울주군
36110,세종특별자치시,세종시,세종,세종특별자치시 세종시
41111,경기도,수원시 장안구,경기_수원_장안,경기도 수원시 장안구
41113,경기도,수원시 권선구,경기_수원_권선,경기도 수원시 권선구
41115,경기도,수원시 팔달구,경기_수원_팔달,경기도 수원시 팔달구
41117,경기도,수원시 영통구,경기_수원_영통,경기도 수원시 영통구
41131,경기도,성남시 수정구,경기_성남_수정,경기도 성남시 수정구
41133,경기도,성남시 중원구,경기_성남_중원,경기도 성남시 중원구
41135,경기도,성남시 분당구,경기_성남_분당,경기도 성남시 분당구
41150,경기도,의정부시,경기_의정부,경기도 의정부시
41171,경기도,안양시 만안구,경기_안양_만안,경기도 안양시 만안구
41173,경기도,안양시 동안구,경기_안양_동안,경기도 안양시 동안구
41190,경기도,부천시,경기_부천,경기도 부천시
41210,경기도,광명시,경기_광명,경기도 광명시
41220,경기도,평택시,경기_평택,경기도 평택시
41250,경기도,동두천시,경기_동두천,경기도 동두천시
41271,경기도,안산시 상록구,경기_안산_상록,경기도 안산시 상록구
41273,경기도,안산시 단원구,경기_안산_단원,경기도 안산시 단원구
41281,경기도,고양시 덕양구,경기_고양_덕양,경기도 고양시 덕양구
41285,경기도,고양시 일산동구,경기_고양_일산동,경기도 고양시 일산동구
41287,경기도,고양시 일산서구,경기_고양_일산서,경기도 고양시 일산서구
41290,경기도,과천시,경기_과천,경기도 과천시
41310,경기도,구리시,경기_구리,경기도 구리시
41360,경기도,남양주시,경기_남양주,경기도 남양주시
41370,경기도,오산시,경기_오산,경기도 오산시
41390,경기도,시흥시,경기_시흥,경기도 시흥시
